split,quality,file_name,raw_min,raw_max,raw_mean,raw_std,raw_median,raw_p90,raw_p95,raw_p99,raw_p99_5,raw_p99_9,zero_ratio,norm_min,norm_max,norm_mean,norm_std,norm_median,norm_p95,norm_p99,norm_p99_9
Train,HIGH,Train_007_HIGH.bin,0.0,35725.0,146.49221801757812,241.52122497558594,94.0,241.0,433.0,1127.0,1556.0,2971.0,0.013603564453125,0.0,1.0,0.0041005476377904415,0.006760571151971817,0.002631210722029209,0.012120364233851433,0.03154653683304787,0.0831630527973175
Train,LOW,Train_008_LOW.bin,0.0,12529.0,86.10042572021484,48.040306091308594,80.0,135.0,156.0,223.0,282.0,479.0,0.013603564453125,0.0,1.0,0.0068720923736691475,0.0038343335036188364,0.006385186221450567,0.0124511132016778,0.017798706889152527,0.03823130205273628
Train,HIGH,Train_008_HIGH.bin,0.0,48670.0,148.00013732910156,237.1239013671875,96.0,246.0,427.0,1144.0,1565.0,2698.0,0.013603564453125,0.0,1.0,0.003040888113901019,0.004872073885053396,0.001972467638552189,0.008773371577262878,0.023505238816142082,0.05543455854058266
Train,LOW,Train_009_LOW.bin,0.0,2228.0,84.53775024414062,44.62724304199219,78.0,134.0,156.0,223.0,265.0,415.0,0.013603515625,0.0,1.0,0.03794323280453682,0.020030174404382706,0.035008978098630905,0.07001795619726181,0.10008976608514786,0.1862657070159912
Train,HIGH,Train_009_HIGH.bin,0.0,23848.0,141.94888305664062,268.84173583984375,90.0,205.0,399.0,1262.0,1735.0,3099.0,0.01360361328125,0.0,1.0,0.005952239502221346,0.01127313356846571,0.0037739013787359,0.016730962321162224,0.052918482571840286,0.12994800508022308
Train,LOW,Train_010_LOW.bin,0.0,4372.0,79.84536743164062,36.62796401977539,76.0,126.0,143.0,182.0,202.0,282.0,0.0136037109375,0.0,1.0,0.018262917175889015,0.008377849124372005,0.01738334819674492,0.03270814195275307,0.04162854701280594,0.06450137495994568
Train,HIGH,Train_010_HIGH.bin,0.0,21981.0,125.75556182861328,168.17771911621094,91.0,192.0,314.0,867.0,1182.0,2053.0,0.013603515625,0.0,1.0,0.005721095018088818,0.007651052437722683,0.004139938857406378,0.014285064302384853,0.03944315388798714,0.09339884668588638
Train,LOW,Train_011_LOW.bin,0.0,3686.0,83.96284484863281,40.90918731689453,79.0,132.0,151.0,201.0,235.0,370.0,0.013603564453125,0.0,1.0,0.022778864949941635,0.011098524555563927,0.02143244631588459,0.040965817868709564,0.054530657827854156,0.1003798171877861
Train,HIGH,Train_011_HIGH.bin,0.0,20497.0,148.26048278808594,249.31927490234375,94.0,235.0,423.0,1266.0,1745.0,3088.0,0.01360361328125,0.0,1.0,0.007233275566250086,0.012163689360022545,0.004586036782711744,0.020637165755033493,0.06176513805985451,0.15065619349479675
Train,LOW,Train_012_LOW.bin,0.0,1837.0,86.3405532836914,40.658905029296875,82.0,136.0,155.0,204.0,232.0,338.0,0.013603564453125,0.0,1.0,0.04700085520744324,0.022133322432637215,0.04463799670338631,0.08437670022249222,0.11105062812566757,0.18399564921855927
Train,HIGH,Train_012_HIGH.bin,0.0,12055.0,129.34371948242188,160.77212524414062,93.0,213.0,348.0,843.0,1107.0,1811.0,0.013603564453125,0.0,1.0,0.010729477740824223,0.01333654299378395,0.007714641280472279,0.02886768989264965,0.06992948800325394,0.1502281278371811
Train,LOW,Train_013_LOW.bin,0.0,1170.0,85.2562484741211,39.284820556640625,81.0,135.0,154.0,196.0,218.0,293.0,0.013603564453125,0.0,1.0,0.07286853343248367,0.03357676789164543,0.06923077255487442,0.13162393867969513,0.1675213724374771,0.25042736530303955
Train,HIGH,Train_013_HIGH.bin,0.0,9947.0,127.68627166748047,167.62457275390625,92.0,197.0,331.0,871.0,1163.0,2014.0,0.013603564453125,0.0,1.0,0.012836656533181667,0.016851777210831642,0.00924901943653822,0.03327636420726776,0.08756408840417862,0.20247310400009155
Train,LOW,Train_014_LOW.bin,0.0,2568.0,85.5604019165039,51.66141891479492,78.0,135.0,159.0,254.0,336.0,584.0,0.01360361328125,0.0,1.0,0.03331787511706352,0.02011738158762455,0.0303738322108984,0.061915889382362366,0.0989096537232399,0.2274143248796463
Train,HIGH,Train_014_HIGH.bin,0.0,24140.0,177.66505432128906,398.98870849609375,93.0,255.0,601.0,1938.0,2728.0,4847.0,0.013603515625,0.0,1.0,0.007359785493463278,0.016528114676475525,0.0038525268901139498,0.02489643730223179,0.08028168976306915,0.20078708231449127
